_id,user,confirmUser,confirmation,status,confirmTime,completedTime,date,_class
67bd94a3d3eb390e9ca5708f,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca57090,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca57091,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca57092,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca57093,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca57094,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca57095,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca57096,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca57097,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca57098,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca57099,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca5709a,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca5709b,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca5709c,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca5709d,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca5709e,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca5709f,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570a0,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570a1,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570a2,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570a3,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570a4,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570a5,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570a6,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570a7,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570a8,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570a9,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570aa,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570ab,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570ac,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570ad,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570ae,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570af,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570b0,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570b1,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570b2,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570b3,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570b4,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570b5,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570b6,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570b7,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570b8,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570b9,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570ba,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570bb,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570bc,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570bd,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
67bd94a3d3eb390e9ca570be,,,false,Pending,,,2025-02-25T10:00:02.000Z,com.ncinga.backend.documents.Records
